#nodes,#clique-2,#clique-3,#clique-4,#clique-5,#clique-6,#clique-7,#clique-8,#clique-9,#clique-10,#clique-11,#clique-12,#clique-13,#clique-14,#clique-15,#clique-16,#clique-17,#clique-18,#clique-19,#clique-20,#clique-21,#clique-22,#clique-23,#clique-24,#clique-25,#clique-26,#clique-27,#clique-28,#clique-29,#clique-30
130.0,368.0,414.0,306.0,132.0,31.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
143.0,417.0,487.0,352.0,145.0,33.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
158.0,464.0,551.0,396.0,163.0,36.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
173.0,529.0,642.0,456.0,179.0,37.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
190.0,573.0,707.0,540.0,232.0,51.0,4.0,,,,,,,,,,,,,,,,,,,,,,,
209.0,632.0,758.0,582.0,259.0,61.0,6.0,,,,,,,,,,,,,,,,,,,,,,,
230.0,715.0,864.0,699.0,341.0,91.0,10.0,,,,,,,,,,,,,,,,,,,,,,,
253.0,784.0,974.0,827.0,438.0,126.0,13.0,,,,,,,,,,,,,,,,,,,,,,,
278.0,892.0,1197.0,1162.0,790.0,348.0,84.0,8.0,,,,,,,,,,,,,,,,,,,,,,
305.0,997.0,1365.0,1385.0,993.0,460.0,115.0,11.0,,,,,,,,,,,,,,,,,,,,,,
336.0,1122.0,1548.0,1549.0,1090.0,511.0,134.0,14.0,,,,,,,,,,,,,,,,,,,,,,
369.0,1286.0,1949.0,2150.0,1749.0,1029.0,388.0,79.0,6.0,,,,,,,,,,,,,,,,,,,,,
406.0,1477.0,2435.0,2913.0,2522.0,1606.0,719.0,209.0,36.0,3.0,,,,,,,,,,,,,,,,,,,,
447.0,1714.0,3116.0,4262.0,4147.0,2845.0,1338.0,409.0,73.0,6.0,,,,,,,,,,,,,,,,,,,,
491.0,1934.0,3707.0,5547.0,5957.0,4485.0,2285.0,739.0,134.0,10.0,,,,,,,,,,,,,,,,,,,,
540.0,2375.0,5191.0,8761.0,10470.0,8820.0,5202.0,2100.0,555.0,87.0,6.0,,,,,,,,,,,,,,,,,,,
594.0,2731.0,6192.0,10931.0,13958.0,12711.0,8111.0,3511.0,972.0,155.0,11.0,,,,,,,,,,,,,,,,,,,
654.0,3079.0,7189.0,13606.0,19114.0,19317.0,13755.0,6664.0,2051.0,350.0,24.0,,,,,,,,,,,,,,,,,,,
719.0,3570.0,8724.0,16748.0,23617.0,23914.0,17197.0,8551.0,2785.0,540.0,53.0,2.0,,,,,,,,,,,,,,,,,,
791.0,4211.0,11159.0,22671.0,33740.0,36357.0,28208.0,15460.0,5728.0,1312.0,154.0,5.0,,,,,,,,,,,,,,,,,,
870.0,4763.0,13680.0,30503.0,50393.0,61465.0,55761.0,37571.0,18465.0,6376.0,1458.0,200.0,13.0,,,,,,,,,,,,,,,,,
956.0,5475.0,16601.0,38355.0,64786.0,80342.0,74288.0,51599.0,26843.0,10311.0,2855.0,548.0,67.0,4.0,,,,,,,,,,,,,,,,
1052.0,6354.0,20831.0,51145.0,90148.0,116194.0,113075.0,85060.0,49940.0,22806.0,8005.0,2117.0,404.0,50.0,3.0,,,,,,,,,,,,,,,
1157.0,7224.0,24921.0,65175.0,122523.0,166900.0,168611.0,128890.0,75440.0,33825.0,11483.0,2880.0,509.0,57.0,3.0,,,,,,,,,,,,,,,
1273.0,7997.0,28241.0,75786.0,146847.0,207520.0,218533.0,174684.0,107421.0,51183.0,18888.0,5360.0,1154.0,182.0,19.0,1.0,,,,,,,,,,,,,,
1400.0,9285.0,36062.0,106811.0,229775.0,364789.0,437231.0,401906.0,285187.0,155755.0,64659.0,19932.0,4388.0,644.0,55.0,2.0,,,,,,,,,,,,,,
1540.0,10382.0,41652.0,128461.0,287730.0,474287.0,588659.0,560216.0,413154.0,236382.0,103825.0,34137.0,8029.0,1249.0,111.0,4.0,,,,,,,,,,,,,,
1694.0,11749.0,49825.0,164295.0,396519.0,710655.0,966847.0,1014600.0,829323.0,530250.0,264789.0,102413.0,30154.0,6560.0,1004.0,99.0,5.0,,,,,,,,,,,,,
1863.0,13219.0,58460.0,205136.0,537093.0,1065467.0,1637439.0,1980279.0,1901665.0,1454715.0,884546.0,424334.0,158466.0,45116.0,9484.0,1398.0,131.0,6.0,,,,,,,,,,,,
2049.0,14891.0,68406.0,249864.0,679740.0,1396377.0,2212729.0,2744923.0,2687696.0,2083399.0,1276759.0,615190.0,230666.0,66103.0,14021.0,2074.0,190.0,8.0,,,,,,,,,,,,
2254.0,16954.0,80127.0,303121.0,854488.0,1817522.0,2985903.0,3855206.0,3953283.0,3234375.0,2109838.0,1091019.0,442144.0,137769.0,32014.0,5286.0,574.0,36.0,1.0,,,,,,,,,,,
2480.0,19459.0,95325.0,369318.0,1057063.0,2273957.0,3779369.0,4952837.0,5181845.0,4354826.0,2942664.0,1592974.0,685010.0,230580.0,59294.0,11187.0,1446.0,113.0,4.0,,,,,,,,,,,
2727.0,21863.0,112190.0,460478.0,1395954.0,3161366.0,5480691.0,7413526.0,7917008.0,6712024.0,4519367.0,2406864.0,1005310.0,324952.0,79660.0,14343.0,1793.0,139.0,5.0,,,,,,,,,,,
3000.0,25073.0,135612.0,583450.0,1839588.0,4299655.0,7647082.0,10575707.0,11541773.0,10023865.0,6947950.0,3835570.0,1674537.0,570782.0,148725.0,28606.0,3821.0,315.0,12.0,,,,,,,,,,,
3299.0,28276.0,160607.0,725949.0,2406847.0,5913947.0,11028664.0,15914160.0,17995622.0,16051711.0,11306320.0,6263569.0,2704397.0,896729.0,223318.0,40339.0,4972.0,369.0,12.0,,,,,,,,,,,
3630.0,32067.0,189752.0,903201.0,3168939.0,8277499.0,16482109.0,25518257.0,31157762.0,30281615.0,23548758.0,14681407.0,7330900.0,2920797.0,921996.0,227861.0,43214.0,6075.0,595.0,36.0,1.0,,,,,,,,,
3993.0,35430.0,211871.0,1034193.0,3759711.0,10283617.0,21703747.0,36120378.0,48154546.0,51956140.0,45620503.0,32648262.0,19003600.0,8948635.0,3379688.0,1011294.0,235771.0,41874.0,5502.0,515.0,32.0,1.0,,,,,,,,
4391.0,39319.0,240937.0,1214981.0,4564675.0,12877495.0,27941018.0,47621385.0,64757331.0,70987133.0,63078874.0,45490708.0,26547627.0,12449591.0,4639273.0,1352373.0,302139.0,50470.0,6143.0,534.0,32.0,1.0,,,,,,,,
4830.0,43871.0,276797.0,1448723.0,5672862.0,16762836.0,38315361.0,69230218.0,100475436.0,118357190.0,113772228.0,89304035.0,57010907.0,29337130.0,11993330.0,3812691.0,914463.0,158808.0,18988.0,1507.0,83.0,3.0,,,,,,,,
5312.0,49166.0,321942.0,1748613.0,7061650.0,21373225.0,49760223.0,91223669.0,134057087.0,159834163.0,155619382.0,123862080.0,80253083.0,41926810.0,17393895.0,5604997.0,1360080.0,238106.0,28426.0,2181.0,106.0,3.0,,,,,,,,
5842.0,54348.0,367364.0,2092256.0,8917419.0,28569422.0,70486281.0,137014319.0,213755053.0,271427083.0,283303802.0,244480976.0,174759456.0,103252378.0,50099151.0,19739725.0,6208147.0,1519640.0,278933.0,36232.0,3011.0,128.0,1.0,,,,,,,
6425.0,59453.0,407042.0,2372141.0,10353883.0,33948435.0,85622401.0,169820617.0,269591682.0,347192300.0,366221934.0,318296110.0,228511835.0,135362162.0,65831891.0,26038142.0,8249600.0,2046087.0,383674.0,51472.0,4481.0,204.0,2.0,,,,,,,
7067.0,65703.0,457905.0,2744480.0,12363183.0,41821090.0,108520766.0,220524002.0,356880867.0,466007196.0,495830584.0,432861369.0,311331475.0,184704118.0,90203883.0,36049839.0,11662185.0,3000065.0,596705.0,87715.0,8818.0,520.0,12.0,,,,,,,
7773.0,71520.0,505401.0,3102054.0,14385918.0,50310404.0,135324484.0,285355321.0,479091350.0,648247706.0,713502845.0,643205270.0,477012453.0,291573395.0,146730514.0,60502441.0,20248210.0,5413351.0,1127253.0,175514.0,19049.0,1258.0,36.0,,,,,,,
8549.0,77975.0,557455.0,3521052.0,16924885.0,61702363.0,173963856.0,386481060.0,686664436.0,986589166.0,1155475512.0,1108804899.0,873941512.0,565561256.0,299440150.0,128763368.0,44427339.0,12071400.0,2510799.0,382650.0,39766.0,2466.0,66.0,,,,,,,
9404.0,84786.0,610294.0,3923861.0,19248771.0,71766553.0,207329937.0,472757959.0,863341680.0,1276543809.0,1540224596.0,1524059072.0,1239609778.0,828297884.0,452956828.0,201174293.0,71663898.0,20090008.0,4308098.0,676920.0,72782.0,4752.0,147.0,1.0,,,,,,
10342.0,91635.0,661176.0,4326639.0,21641041.0,82262043.0,242428349.0,564607860.0,1054858050.0,1598622244.0,1980774765.0,2017006442.0,1692407405.0,1170166793.0,664839196.0,308480154.0,115677127.0,34494636.0,7981654.0,1380143.0,167878.0,12921.0,505.0,5.0,,,,,,
11376.0,99851.0,728652.0,4883193.0,25101411.0,98238397.0,298629593.0,719043262.0,1392794520.0,2195770255.0,2841283910.0,3034889405.0,2684504438.0,1967942298.0,1193479271.0,596046572.0,243229734.0,80161835.0,20991550.0,4272191.0,656378.0,73375.0,5709.0,291.0,8.0,,,,,
12512.0,108237.0,794301.0,5423319.0,28456576.0,113707977.0,353067470.0,868990159.0,1722263441.0,2781349984.0,3691842941.0,4052105398.0,3691385861.0,2795508658.0,1759013845.0,917160354.0,394295245.0,138728593.0,39548277.0,9020381.0,1621282.0,225460.0,23654.0,1787.0,87.0,2.0,,,,
13763.0,117780.0,870642.0,6072602.0,32761596.0,135212741.0,435667909.0,1118962321.0,2329959312.0,3985213245.0,5655824812.0,6711519355.0,6697862262.0,5644588098.0,4027239907.0,2434556909.0,1245536692.0,537292018.0,194067521.0,58034255.0,14126260.0,2730589.0,404482.0,43559.0,3136.0,129.0,2.0,,,
15133.0,126951.0,940839.0,6651822.0,36446538.0,152895462.0,500985022.0,1308923136.0,2773322739.0,4828089077.0,6975510482.0,8426900254.0,8559641006.0,7338646647.0,5322947968.0,3268623844.0,1697198596.0,742489707.0,271829044.0,82369076.0,20315335.0,3978856.0,596727.0,64823.0,4645.0,181.0,2.0,,,
16645.0,136130.0,1006680.0,7190170.0,39929612.0,170133822.0,567342123.0,1511630274.0,3272962685.0,5834617629.0,8648899041.0,10739556316.0,11230397880.0,9925001927.0,7427296434.0,4707739117.0,2523347802.0,1139286333.0,430351105.0,134569867.0,34295744.0,6965892.0,1091756.0,125788.0,9842.0,449.0,8.0,,,
18305.0,146552.0,1078524.0,7771165.0,43721846.0,189327682.0,643339718.0,1750849073.0,3880768261.0,7096806344.0,10811652356.0,13818372681.0,14888246082.0,13561202720.0,10454301295.0,6816273970.0,3749339331.0,1731722201.0,666672531.0,211609374.0,54521532.0,11151838.0,1753535.0,201996.0,15762.0,718.0,13.0,,,
20137.0,158299.0,1169222.0,8576430.0,49266777.0,218099567.0,758819395.0,2119136530.0,4833899043.0,9129863351.0,14425803248.0,19214242867.0,21688355144.0,20817249015.0,17019601306.0,11853845320.0,7023106516.0,3528559043.0,1495637374.0,530725278.0,155922373.0,37332279.0,7121564.0,1046927.0,112600.0,8098.0,323.0,4.0,,
22148.0,171400.0,1275523.0,9517621.0,55709575.0,251661890.0,895206896.0,2561957970.0,6004152700.0,11682029696.0,19065826484.0,26299404761.0,30823754750.0,30799485610.0,26282547557.0,19157591788.0,11912123059.0,6299868942.0,2820148164.0,1061000698.0,332113506.0,85289533.0,17622425.0,2849731.0,346365.0,29693.0,1601.0,41.0,,
24759.0,187986.0,1403919.0,10714812.0,64446150.0,299784178.0,1100265307.0,3257455739.0,7926929007.0,16094423872.0,27582280139.0,40251735476.0,50342040768.0,54199378676.0,50367062703.0,40446075530.0,28055794530.0,16779313802.0,8622634344.0,3787807832.0,1412368472.0,442852036.0,115350788.0,24563421.0,4185736.0,554075.0,54544.0,3726.0,156.0,3.0
